"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"KM006373","954","Human","4 (HA)","H3N2","China","N","2014/02/01","Influenza A virus (A/Beijing/157/2014(H3N2))","","","","","","p"
"KM006374","954","Human","4 (HA)","H3N2","China","N","2014/01/27","Influenza A virus (A/Beijing/16/2014(H3N2))","","","","","","p"
"KF471246","1266","Human","4 (HA)","H3N2","China","N","2013/01/06","Influenza A virus (A/Beijing/160/2013(H3N2))","","","","","","p"
"KM006375","954","Human","4 (HA)","H3N2","China","N","2014/02/01","Influenza A virus (A/Beijing/189/2014(H3N2))","","","","","","p"
"KF471238","1266","Human","4 (HA)","H3N2","China","N","2012/12/26","Influenza A virus (A/Beijing/24/2012(H3N2))","","","","","","p"
"KF471239","1266","Human","4 (HA)","H3N2","China","N","2012/12/26","Influenza A virus (A/Beijing/29/2012(H3N2))","","","","","","p"
"CY048968","903","Human","4 (HA)","H3N2","China","N","2009/10","Influenza A virus (A/Beijing/361/2009(H3N2))","","","","","","p"
"KP662653","987","Human","4 (HA)","H3N2","China","N","2012/09/12","Influenza A virus (A/Beijing/38891/2012(H3N2))","","","","","","p"
"KP662656","987","Human","4 (HA)","H3N2","China","N","2012/09/18","Influenza A virus (A/Beijing/38997/2012(H3N2))","","","","","","p"
"KP662655","987","Human","4 (HA)","H3N2","China","N","2012/09/18","Influenza A virus (A/Beijing/38998/2012(H3N2))","","","","","","p"
"KP662654","987","Human","4 (HA)","H3N2","China","N","2012/09/25","Influenza A virus (A/Beijing/39147/2012(H3N2))","","","","","","p"
"KP662650","987","Human","4 (HA)","H3N2","China","N","2012/09/28","Influenza A virus (A/Beijing/39207/2012(H3N2))","","","","","","p"
"KP662647","987","Human","4 (HA)","H3N2","China","N","2012/10/03","Influenza A virus (A/Beijing/39255/2012(H3N2))","","","","","","p"
"KP662648","987","Human","4 (HA)","H3N2","China","N","2012/10/24","Influenza A virus (A/Beijing/39653/2012(H3N2))","","","","","","p"
"KP662649","987","Human","4 (HA)","H3N2","China","N","2012/11/27","Influenza A virus (A/Beijing/40430/2012(H3N2))","","","","","","p"
"KP662652","987","Human","4 (HA)","H3N2","China","N","2012/12/20","Influenza A virus (A/Beijing/41157/2012(H3N2))","","","","","","p"
"KP662651","987","Human","4 (HA)","H3N2","China","N","2012/12/25","Influenza A virus (A/Beijing/41300/2012(H3N2))","","","","","","p"
"KP662644","987","Human","4 (HA)","H3N2","China","N","2012/12/31","Influenza A virus (A/Beijing/41511/2012(H3N2))","","","","","","p"
"KP662643","987","Human","4 (HA)","H3N2","China","N","2013/01/08","Influenza A virus (A/Beijing/41784/2013(H3N2))","","","","","","p"
"KP662642","987","Human","4 (HA)","H3N2","China","N","2013/01/15","Influenza A virus (A/Beijing/42019/2013(H3N2))","","","","","","p"
"KP662641","987","Human","4 (HA)","H3N2","China","N","2013/01/22","Influenza A virus (A/Beijing/42256/2013(H3N2))","","","","","","p"
"KP662646","987","Human","4 (HA)","H3N2","China","N","2013/01/22","Influenza A virus (A/Beijing/42259/2013(H3N2))","","","","","","p"
"KP662645","987","Human","4 (HA)","H3N2","China","N","2013/03/01","Influenza A virus (A/Beijing/43380/2013(H3N2))","","","","","","p"
"KP662681","987","Human","4 (HA)","H3N2","China","N","2013/12/20","Influenza A virus (A/Beijing/50715/2013(H3N2))","","","","","","p"
"KP662682","987","Human","4 (HA)","H3N2","China","N","2013/12/24","Influenza A virus (A/Beijing/50806/2013(H3N2))","","","","","","p"
"KP662680","987","Human","4 (HA)","H3N2","China","N","2013/12/31","Influenza A virus (A/Beijing/51045/2013(H3N2))","","","","","","p"
"KP662684","987","Human","4 (HA)","H3N2","China","N","2014/01/07","Influenza A virus (A/Beijing/51340/2014(H3N2))","","","","","","p"
"KP662683","987","Human","4 (HA)","H3N2","China","N","2014/01/10","Influenza A virus (A/Beijing/51519/2014(H3N2))","","","","","","p"
"KP662677","987","Human","4 (HA)","H3N2","China","N","2014/01/20","Influenza A virus (A/Beijing/51827/2014(H3N2))","","","","","","p"
"KP662676","987","Human","4 (HA)","H3N2","China","N","2014/01/27","Influenza A virus (A/Beijing/52155/2014(H3N2))","","","","","","p"
"KP662679","987","Human","4 (HA)","H3N2","China","N","2014/02/03","Influenza A virus (A/Beijing/52406/2014(H3N2))","","","","","","p"
"KP662678","987","Human","4 (HA)","H3N2","China","N","2014/03/11","Influenza A virus (A/Beijing/53470/2014(H3N2))","","","","","","p"
"KP662673","987","Human","4 (HA)","H3N2","China","N","2014/03/18","Influenza A virus (A/Beijing/53593/2014(H3N2))","","","","","","p"
"KP662671","987","Human","4 (HA)","H3N2","China","N","2014/04/01","Influenza A virus (A/Beijing/54085/2014(H3N2))","","","","","","p"
"KP662674","987","Human","4 (HA)","H3N2","China","N","2014/04/21","Influenza A virus (A/Beijing/54728/2014(H3N2))","","","","","","p"
"KP662672","987","Human","4 (HA)","H3N2","China","N","2014/05/09","Influenza A virus (A/Beijing/55254/2014(H3N2))","","","","","","p"
"KP662675","987","Human","4 (HA)","H3N2","China","N","2014/05/13","Influenza A virus (A/Beijing/55312/2014(H3N2))","","","","","","p"
"KP662668","987","Human","4 (HA)","H3N2","China","N","2014/09/23","Influenza A virus (A/Beijing/58592/2014(H3N2))","","","","","","p"
"KP662667","987","Human","4 (HA)","H3N2","China","N","2014/09/30","Influenza A virus (A/Beijing/58794/2014(H3N2))","","","","","","p"
"KP662666","987","Human","4 (HA)","H3N2","China","N","2014/10/14","Influenza A virus (A/Beijing/59100/2014(H3N2))","","","","","","p"
"KP662670","987","Human","4 (HA)","H3N2","China","N","2014/10/28","Influenza A virus (A/Beijing/59482/2014(H3N2))","","","","","","p"
"KP662669","987","Human","4 (HA)","H3N2","China","N","2014/11/11","Influenza A virus (A/Beijing/59882/2014(H3N2))","","","","","","p"
"KP662663","987","Human","4 (HA)","H3N2","China","N","2014/11/11","Influenza A virus (A/Beijing/59888/2014(H3N2))","","","","","","p"
"KP662662","987","Human","4 (HA)","H3N2","China","N","2014/11/18","Influenza A virus (A/Beijing/60134/2014(H3N2))","","","","","","p"
"KP662661","987","Human","4 (HA)","H3N2","China","N","2014/11/18","Influenza A virus (A/Beijing/60178/2014(H3N2))","","","","","","p"
"KP662664","987","Human","4 (HA)","H3N2","China","N","2014/12/01","Influenza A virus (A/Beijing/60642/2014(H3N2))","","","","","","p"
"KP662665","987","Human","4 (HA)","H3N2","China","N","2014/12/02","Influenza A virus (A/Beijing/60657/2014(H3N2))","","","","","","p"
"KP662659","987","Human","4 (HA)","H3N2","China","N","2014/12/02","Influenza A virus (A/Beijing/60661/2014(H3N2))","","","","","","p"
"KP662657","987","Human","4 (HA)","H3N2","China","N","2014/12/02","Influenza A virus (A/Beijing/60670/2014(H3N2))","","","","","","p"
"KF471240","1101","Human","4 (HA)","H3N2","China","N","2012/12/29","Influenza A virus (A/Beijing/67/2012(H3N2))","","","","","","p"
"KF471247","1266","Human","4 (HA)","H3N2","China","N","2013/01/08","Influenza A virus (A/Beijing/8313/2013(H3N2))","","","","","","p"
"KP662660","987","Human","4 (HA)","H3N2","China","N","2014/09/30","Influenza A virus (A/Beijing/QH11/2014(H3N2))","","","","","","p"
"KP662658","987","Human","4 (HA)","H3N2","China","N","2014/10/03","Influenza A virus (A/Beijing/QH29/2014(H3N2))","","","","","","p"
"KX687778","1701","Human","4 (HA)","H3N2","China","N","2014/11/27","Influenza A virus (A/Beijingdongcheng/0114/2014(H3N2))","","","","","","c"
"KX687779","1701","Human","4 (HA)","H3N2","China","N","2014/11/03","Influenza A virus (A/Beijingdongcheng/1026/2014(H3N2))","","","","","","c"
"KX687777","1701","Human","4 (HA)","H3N2","China","N","2014/12/01","Influenza A virus (A/Beijingfengtai/0036/2014(H3N2))","","","","","","c"
"KX687776","1701","Human","4 (HA)","H3N2","China","N","2014/12/06","Influenza A virus (A/Beijingfengtai/0041/2014(H3N2))","","","","","","c"
"MG572443","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/0908/2016(H3N2))","","","","","","c"
"MG572448","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1079/2016(H3N2))","","","","","","c"
"MG572445","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1135/2016(H3N2))","","","","","","c"
"MG572441","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1163/2016(H3N2))","","","","","","c"
"MG572452","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1190/2016(H3N2))","","","","","","c"
"MG572442","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1225/2016(H3N2))","","","","","","c"
"MG572449","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1234/2016(H3N2))","","","","","","c"
"MG572454","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1253/2016(H3N2))","","","","","","c"
"MG572450","1762","Human","4 (HA)","H3N2","China","N","2016/02","Influenza A virus (A/Beijingfengtai/1264/2016(H3N2))","","","","","","c"
"MG572447","1762","Human","4 (HA)","H3N2","China","N","2016/02","Influenza A virus (A/Beijingfengtai/1269/2016(H3N2))","","","","","","c"
"KX687772","1701","Human","4 (HA)","H3N2","China","N","2015/01/12","Influenza A virus (A/Beijinghuairou/0493/2015(H3N2))","","","","","","c"
"KX687773","1701","Human","4 (HA)","H3N2","China","N","2015/01/13","Influenza A virus (A/Beijinghuairou/0495/2015(H3N2))","","","","","","c"
"KX687775","1701","Human","4 (HA)","H3N2","China","N","2015/01/12","Influenza A virus (A/Beijinghuairou/0496/2015(H3N2))","","","","","","c"
"MG196333","1701","Human","4 (HA)","H3N2","China","N","2013/11/06","Influenza A virus (A/Beijinghuairou/1092/2013(H3N2))","","","","","","c"
"MG196334","1701","Human","4 (HA)","H3N2","China","N","2013/11/21","Influenza A virus (A/Beijinghuairou/1216/2013(H3N2))","","","","","","c"
"MG196335","1701","Human","4 (HA)","H3N2","China","N","2013/10/15","Influenza A virus (A/Beijinghuairou/483/2013(H3N2))","","","","","","c"
"MG196336","1701","Human","4 (HA)","H3N2","China","N","2013/10/30","Influenza A virus (A/Beijinghuairou/645/2013(H3N2))","","","","","","c"
"MG196337","1701","Human","4 (HA)","H3N2","China","N","2013/11/02","Influenza A virus (A/Beijinghuairou/651/2013(H3N2))","","","","","","c"
"MG196338","1701","Human","4 (HA)","H3N2","China","N","2013/11/05","Influenza A virus (A/Beijinghuairou/678/2013(H3N2))","","","","","","c"
"MG196339","1701","Human","4 (HA)","H3N2","China","N","2013/11/05","Influenza A virus (A/Beijinghuairou/690/2013(H3N2))","","","","","","c"
"MG196340","1701","Human","4 (HA)","H3N2","China","N","2013/12/01","Influenza A virus (A/Beijinghuairou/712/2013(H3N2))","","","","","","c"
"MG196341","1701","Human","4 (HA)","H3N2","China","N","2013/12/12","Influenza A virus (A/Beijinghuairou/746/2013(H3N2))","","","","","","c"
"MG196342","1701","Human","4 (HA)","H3N2","China","N","2013/12/12","Influenza A virus (A/Beijinghuairou/753/2013(H3N2))","","","","","","c"
"KX687774","1701","Human","4 (HA)","H3N2","China","N","2014/11/24","Influenza A virus (A/Beijingxicheng/1045/2014(H3N2))","","","","","","c"
"MG572456","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingxicheng/1193/2016(H3N2))","","","","","","c"
"MG572453","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingxicheng/2220/2016(H3N2))","","","","","","c"
"MG572444","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingxicheng/2261/2016(H3N2))","","","","","","c"
"MG572455","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingxicheng/2274/2016(H3N2))","","","","","","c"
"MG572451","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingxicheng/2327/2016(H3N2))","","","","","","c"
"MG572446","1762","Human","4 (HA)","H3N2","China","N","2016/02","Influenza A virus (A/Beijingxicheng/2333/2016(H3N2))","","","","","","c"
"MH393241","1701","Human","4 (HA)","H3N2","China","N","2013/12/16","Influenza A virus (A/China/231/2013)","","","","","","c"
"MH393234","1701","Human","4 (HA)","H3N2","China","N","2012/08/02","Influenza A virus (A/China/321/2012)","","","","","","c"
"MH393235","1701","Human","4 (HA)","H3N2","China","N","2012/08/06","Influenza A virus (A/China/356/2012)","","","","","","c"
"MH393240","1701","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/China/506/2013)","","","","","","c"
"MH393242","1701","Human","4 (HA)","H3N2","China","N","2014/07/21","Influenza A virus (A/China/537/2014)","","","","","","c"
"MH393250","1701","Human","4 (HA)","H3N2","China","N","2017/06/19","Influenza A virus (A/China/573/2017)","","","","","","c"
"MH393251","1701","Human","4 (HA)","H3N2","China","N","2017/08/05","Influenza A virus (A/China/574/2017)","","","","","","c"
"MH393252","1701","Human","4 (HA)","H3N2","China","N","2017/06/09","Influenza A virus (A/China/585/2017)","","","","","","c"
"MH393253","1701","Human","4 (HA)","H3N2","China","N","2017/06/10","Influenza A virus (A/China/587/2017)","","","","","","c"
"MH393255","1701","Human","4 (HA)","H3N2","China","N","2015/06/20","Influenza A virus (A/China/596/2015)","","","","","","c"
"MH393243","1701","Human","4 (HA)","H3N2","China","N","2014/08/04","Influenza A virus (A/China/597/2014)","","","","","","c"
"MH393244","1701","Human","4 (HA)","H3N2","China","N","2014/08/11","Influenza A virus (A/China/604/2014)","","","","","","c"
"MH393245","1701","Human","4 (HA)","H3N2","China","N","2014/08/26","Influenza A virus (A/China/608/2014)","","","","","","c"
"MH393236","1701","Human","4 (HA)","H3N2","China","N","2013/11/18","Influenza A virus (A/China/718/2013)","","","","","","c"
"MH393238","1701","Human","4 (HA)","H3N2","China","N","2013/12/16","Influenza A virus (A/China/735/2013)","","","","","","c"
"MH393246","1701","Human","4 (HA)","H3N2","China","N","2016/10/31","Influenza A virus (A/China/746/2016)","","","","","","c"
"MH393239","1701","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/China/750/2013)","","","","","","c"
"MH393237","1701","Human","4 (HA)","H3N2","China","N","2013/12/16","Influenza A virus (A/China/803/2013)","","","","","","c"
"MH393247","1701","Human","4 (HA)","H3N2","China","N","2016/10/31","Influenza A virus (A/China/813/2016)","","","","","","c"
"MH393233","1701","Human","4 (HA)","H3N2","China","N","2012/02/23","Influenza A virus (A/China/89/2012)","","","","","","c"
"MH393248","1701","Human","4 (HA)","H3N2","China","N","2016/11/28","Influenza A virus (A/China/901/2016)","","","","","","c"
"MH393249","1701","Human","4 (HA)","H3N2","China","N","2016/12/12","Influenza A virus (A/China/940/2016)","","","","","","c"
"MK053905","1762","Human","4 (HA)","H3N2","China","N","2017/06","Influenza A virus (A/China/LZP/2017)","","","","","","c"
"MH393254","1701","Human","4 (HA)","H3N2","China","N","2017/09/20","Influenza A virus (A/China/S111/2017)","","","","","","c"
"KP457508","1698","Human","4 (HA)","H3N2","China","N","2010/06/25","Influenza A virus (A/Chongqing Banan/1286/2010(H3N2))","","","","","","nc"
"KP457424","1698","Human","4 (HA)","H3N2","China","N","2011/02/20","Influenza A virus (A/Chongqing Wanzhou/182/2011(H3N2))","","","","","","nc"
"KP458095","1005","Human","4 (HA)","H3N2","China","N","2008/04/01","Influenza A virus (A/Chongqing Yongchuan/1108/2008(H3N2))","","","","","","p"
"KP458096","1698","Human","4 (HA)","H3N2","China","N","2007/02/27","Influenza A virus (A/Chongqing Yuzhong/169/2007(H3N2))","","","","","","nc"
"KP458759","1698","Human","4 (HA)","H3N2","China","N","2010/07/20","Influenza A virus (A/Chongqing Yuzhong/334/2010(H3N2))","","","","","","nc"
"KP458989","1698","Human","4 (HA)","H3N2","China","N","2010/07/20","Influenza A virus (A/Chongqing Yuzhong/335/2010(H3N2))","","","","","","nc"
"CY108646","960","Human","4 (HA)","H3N2","China","N","2007/02/12","Influenza A virus (A/Chongqing-Banan/116/2007(H3N2))","","","","","","p"
"CY108875","960","Human","4 (HA)","H3N2","China","N","2009/02/10","Influenza A virus (A/Chongqing-Fuling/137/2009(H3N2))","","","","","","p"
"KP456465","1698","Human","4 (HA)","H3N2","China","N","2007/07/26","Influenza A virus (A/Fujian Gulou/1713/2007(H3N2))","","","","","","nc"
"KP457567","1698","Human","4 (HA)","H3N2","China","N","2010/01/12","Influenza A virus (A/Fujian Longyan Xinluo/133/2010(H3N2))","","","","","","nc"
"KP458426","987","Human","4 (HA)","H3N2","China","N","2010/09/06","Influenza A virus (A/Fujian Sanming Meilie/1464/2010(H3N2))","","","","","","p"
"KP458258","1698","Human","4 (HA)","H3N2","China","N","2008/11/26","Influenza A virus (A/Fujian Siming/1242/2008(H3N2))","","","","","","nc"
"CY108909","906","Human","4 (HA)","H3N2","China","N","2009/05","Influenza A virus (A/Fujian-Fengze/311/2009(H3N2))","","","","","","p"
